Paragraphs,Score
"As estimated by the USChina
Business Council, US trade with China has helped
each American family save an average of 850 dollars each year. According to statistics from the Chinese Ministry of Commerce, the sales revenue of US businesses in China reached around $606.8 billion in 2016, with a profit of over $39 billion.",1
"All these statistics and analyses demonstrate that the China-US trade and economic cooperation is, in essence, mutually beneficial",1
"No one wants to make a loss-making deal, let alone do that continuously for over 20 years.",0
"We urge the US to adjust its attitude and respect facts, stop its unfounded accusations against China, adopt a correct perspective on China and China-US trade ties, and do more to serve the business communities and consumers on the two sides.",0
I�m afraid your Foreign Minister is so worried that she even talked indiscreetly like this.,0
What threat has China posed to Canada?,0
"The Canadian side has unjustifiably detained a Chinese citizen transiting in Canada, who has violated no Canadian laws at all as the Canadian side itself has admitted, posing a grave threat to the Chinese citizen. You see that?",0
It is Canada rather than China that has posed a threat,0
"The Canadian side might be worried, but it had better refrain from talking such nonsense.",0
This will severely taint the reputation and image of Canada and is not conducive to the settlement of the issue.,0
"We are helping them to get rid of an evil, and how could that be a threat after all?",0
Does the Canadian leader believe that it wouldn�t be a threat to allow the drug trafficker to make his way home? Is that what safety means?,0
We need to make a basic judgment about what is right and what is wrong.,0
"American imperialism attempts to stave off a defeat in South Vietnam by intensifying armed intervention, military provocation and dragging several of its running dogs into the war.",0
 It is completely delusional.,0
"In the eyes of the revolutionary people, no matter how American imperialism ostensibly shows its teeth and claws, it is only a paper tiger.",0
"The ratification of the Treaty  means that Japanese reactionaries and American imperialism are wolf and jackal, who are determined to push Japanese people back into the abyss of the evil aggressive war again.",0
"The important reason why the People�s Republic of China has so far failed to regain its rightful position in the United Nations is that the UN, under control of the United States, has taken the group of Chiang Kai-shek-leading rebels as representative of China. ",0
They are fed by the U.S. and occupy the seat in the UN. ,0
The Chinese firmly support the Vietnamese in carrying out their heroic struggle to fight against the United States and save the country.,2
"No matter whether American imperialism comes out to fight in person or drives more servants to the battlefield, it cannot avoid the fate of failure.",0
"Park Chung-hee�s group is dedicated to risking life for the master, but in the end this group can only accelerate its own death.",0
"Whenever American imperialism takes a new step of aggression, the British government actively cooperates and responds, playing the role of accomplice",0
"The United States expanded the war of aggression against South Vietnam to North Vietnam, and the British government quickly echoed and shouted that it was �necessary� to bomb North Vietnam.",0
"It is only a handful of people who are determined to be the puppets of the United States, and surely they will never come to a good end.",0
"The right-wing reactionary forces in Indonesia have fully stood with the imperialism led by the United States and its accomplices, participating in the internationally anti-communism, anti-China and anti-people chorus",0
A robber is a robber.,0
The fact that the Indian army crossed the border and robbed Chinese people cannot be denied by any lies.,0
"The Indian government echoed American imperialism in the last diplomatic note, saying that the Southeast Asia Treaty was to ��curb China�s expansionism in Southeast Asia�.",0
"Up to now, India has overtly become an advocate and microphone of American imperialism.",0
Using the Sino-Pakistani negotiations to stir up anti-China sentiment can only lead to hitting one�s own feet by lifting a stone and targeting others,0
"The Chinese government suggests that India should calmly think about why they should make efforts to seek a peaceful solution to the Sino-Indian border issue, rather than asserting such a futile argument.",0
"They betrayed themselves, and sold out the interests of the Soviet people and world people.",0
"The leaders, however, united with American imperialism and cheated in partnership, in order to convince the world�s people that American imperialism is a �peace fighter�, to paralyze the will of the people to fight, and to undermine the cause of world peace.",0
".If not blind, everyone can see clearly that after the emergence of nuclear weapons, imperialists still regards counter-revolutionary war as the means of pursuing their policy of oppressing and enslaving all peoples",0
running dogs,0
paper tiger,0
show its teeth and claws,0
donkey exhausts its skills and waits for death,0
a cornered dog will leap over a wall,0
wolf and jackal,0
be led by the nose,0
and ride on the head of,0
bandit chieftain,0
master,0
retired emperor,0
backstage boss,0
accomplice,0
slave,0
servant,0
pawn,0
microphone,0
puppet,0
farce,0
will never come to a good end.,0
anti-China chorus,0
robber,0
sit down and share the spoils without participating personally in the robbery,0
commit murder and robbery,0
a thief cries Stop thief,0
to lift a rock only to drop it on one�s own feet,0
"While digging its allies corner, American imperialism cannot completely ignore the common interests shared by all capitalist countries.",0
mental disorder,0
amnesia,0
blind,0
China will resolutely defend the legitimate rights and interests of Chinese enterprises,0
"Both sides will further strengthen cooperation on port
opening and management",2
"The determination to implement the principle of ""one country, two systems"" is firm and will not change",0
Our door to the outside world will only open wider,2
We will definitely take necessary countermeasures,0
"China would like to work with the new Bangladeshi
government to move forward China-Bangladesh strategic
partnership of cooperation.",2
We are committed to providing a more attractive investment environment for foreign enterprises to invest in China.,2
The Chinese government guarantees the safety and lawful rights and interests of foreign citizens in China in accordance with the law.,1
We are full of confidence in strengthening our cooperation in the future,2
China will continue to promote exchanges and cooperation with Venezuela in various fields,2
"Now the cumulative cases in the United States have exceeded 15 million, an increase of more than a million within a week, which means that one in every 22 Americans is confirmed.",1
"A: As we know, the US recently announced its plan to impose additional ten-percent tariffs on $300 billion worth of Chinese goods, which is a serious violation of the consensus reached by Chinese and American Presidents during their meeting in Osaka. The Tariff Policy Commission of the State Council will not exclude the possibility of imposing tariffs on American agricultural products that are purchased after August 3. The relevant Chinese companies have stopped buying those products. The competent Chinese authority says that considering the huge market in China, there is bright prospect for importing quality agricultural products from the US side. However, we hope the US will earnestly act on the two Presidents' consensus, honor its commitments and create necessary conditions for agricultural cooperation between the two countries. ",0
"Given these open records, any fair-minded person will come to the conclusion that if countries want to ensure cyber security, they should be on alert not against Huawei, but Cisco and Apple.",0
The US today is merely a far cry from the major power it used to be.,0
This is my advice to the rowdy crowd.,0
"Wang Wenbin: As I just said, we urge the US to immediately retract its wrong decision and create necessary conditions for bringing the bilateral relationship back on track.",0
"As for China's position on Xinjiang-related issues, we have made it clear on many occasions. The measures the Chinese side has taken in the Xinjiang Uighur Autonomous Region are for preventive counter-terrorism and de-radicalization purposes, on which the international community has fair judgment. The resolutions adopted by the meeting of the Council of Foreign Ministers of the Organization of Islamic Cooperation not long ago have demonstrated that fairly. ",1
"A: I believe you all noticed the recent ease of tensions on the Korean Peninsula. There is again a bright prospect of settlement through dialogue. We hope all relevant parties can cherish this important opportunity and cement the positive momentum. By doing so, we can advance and progress the denuclearization process and the political settlement. This is what we hope all parties can work for.",1
"A: This morning, the China-ROK cooperation mechanism on joint prevention and control of COVID-19 was formally established and held its first video conference.The Chinese side has released a readout. ",1
No force is entitled to negate the choice of other countries.,0
Zhao Lijian: China has made clear its principled position on issues relating to Hong Kong. Hong Kong affairs are purely China's internal affairs that allow no foreign interference. We hope the US will do more that is conducive to stability and prosperity in Hong Kong and development of China-US relations.,0
"Putting people's safety and health first, Beijing and other localities have all issued notices on strengthening epidemic prevention and control efforts.",1
"During this difficult time, Wuhan city and China is cheered on through the social media by so many lovely people from all corners of the world like this Indonesian policeman.",2
We also oppose the practice of ideologizing multilateralism to form values-based allies targeting specific countries.,0
We want to express our heartfelt thanks to the EU and its member states for their support and assistance.,2
Is there any evidence?,0
The facts have proven that it is absurd to accuse China of spreading the virus.,0
"Any action by the international community should contribute to Myanmar's political and social stability and peaceful reconciliation, avoid escalating conflicts and further complicating the situation.",1
We appreciate the appraisal of China's work and contributions in this report of the UN Secretary-General.,2
I would refer you to competent authorities.,1
"Hua Chunying: The Diaoyu Dao and its affiliated islands are China's inherent territory. This is based on ample historical and legal evidence. China has launched the digital Diaoyu Dao Museum based on its sovereign position, on which the Japanese side is in no position to make wanton comments.",0
This spokesperson has gone so far as to take interference in others' internal affairs as routine work for their diplomats around the globe and applaud such practice. How could the world enjoy peace when the US is doing so? ,0
"The move to improve the electoral system of the Hong Kong SAR aims to develop, in a gradual and orderly manner, a democratic system that is in line with the constitutional order of Hong Kong and suited to its actual situation.",1
"The final victory against the virus won't come until it is defeated in the last country, and the final victory of poverty alleviation won't be ours unless poverty is eradicated in the last nation.",1
"Hua Chunying: Based on the consensus reached by the Chinese and Indian sides in rounds of consultations through diplomatic and military channels, frontline troops of both sides in the Pangong Lake area started on February 10 to organize disengagement in a synchronized and planned manner.",1
"China will continue actively participating in the global research on the virus' origin tracing and route of transmission, and work with the international community to contribute to global cooperation on fighting the virus. ",2
"Looking ahead, China will further cherish and advance our friendship with Cuba. Standing at the new historical starting point, we will continue to deepen political mutual trust, expand and deepen bilateral cooperation, and move forward the special friendship for new outcomes in various fields. We are firmly convinced that China-Cuba relations will have a brighter future. ",2
"At the invitation of State Councilor and Foreign Minister Wang Yi, Foreign Minister Dato' Saifuddin Abdullah of Malaysia will visit China from September 9 to 14. ",1
"My friends from the press, do you honestly think this is ""genocide""?",0
"Relevant Chinese departments have also stayed in close cooperation with WHO, including in recent time.",2
Racial discrimination against ethnic minorities remains a social ill in the US.,0
"In the meantime, as countries with the largest nuclear arsenals, Russia and the United States still possess more than 90 percent of nuclear weapons in the world.",1
"Hua Chunying: I have also taken note of the report. I believe Mr. Musk made an objective statement when he said that the Chinese government cares a lot about the well-being of the people. Since its founding, the CPC has dedicated itself to the mission of serving the people. To improve people's living standards and to meet their increasing needs for a better life is the motivation and purpose of all our work. The CPC is a party of the people, for the people and by the people. In this lies the source of its invincible confidence in overcoming all difficulties as the ruling party.",1
"As is known to all, Resolution 2758 adopted at the 26th Session of the United Nations General Assembly in October 1971 has made it clear that the government of the People's Republic of China is the sole legal government that represents the whole of China. The one-China principle recognized by this resolution has become the universal consensus of the international community. The one-China principle involves China's core interests and the sentiment of over 1.3 billion Chinese people, and it is also the prerequisite and political basis for countries around the globe to maintain and develop friendly and cooperative relations with China. ",1
"China will work with the E3 and the larger international community to stick to the JCPOA and Security Council resolution, uphold multilateralism, and work for the political and diplomatic settlement of the Iranian nuclear issue.",1
"A: For some time, under the pretext of religion and human rights, the US has time and again smeared China's Xinjiang-related policies and made baseless comments, which China deplores and firmly opposes.",0
"Its implementation will strengthen Hong Kong's legal framework, ensure social order, improve business environment, and contribute to Hong Kong's prosperity and stability.",1
"We advise this politician not to go further down the wrong path, otherwise his hypocrisy and malign intentions will be further exposed, prompting more indignation and objection among the Chinese people and the international community. ",0
A: The Chinese side has noted the ASEAN summit recently held in the Philippines which focused and reached important consensus on building ASEAN community.,2
"On the occasion of the 50th anniversary of ASEAN, we congratulate it on its achievements in growth, commend it for its contribution to regional peace, stability, development and prosperity, and support it in building the ASEAN community, maintaining centrality in regional cooperation, and playing a bigger role in international and regional affairs.",2
We believe ASEAN will make greater progress under the concerted efforts of the Philippines as the rotating chair and other ASEAN countries.,2
We have also noted what was mentioned in the chairman's statement about the South China Sea.,1
"With joint efforts of the countries in the region, the situation in the South China Sea has cooled down and taken on a positive momentum.",2
"The Chinese side is willing to work with ASEAN countries to fully implement the Declaration on the Conduct of Parties in the South China Sea (DOC), deepen maritime practical cooperation, arrive at a code of conduct in the South China Sea (COC) based on consensus at an early date, and jointly uphold peace and stability in the South China Sea.",2
"According to the work plan, China and ASEAN countries will finish consultation on the draft framework of the COC in the first half of this year.",1
A: The Chinese side welcomes President Duterte's visit to the Chinese naval vessel calling in Davao City.,2
It shows the growing political mutual trust between the two countries.,2
Last year saw an overall improvement of the bilateral relationship thanks to the concerted efforts of both sides.,2
"Practical cooperation has fully unfolded, producing remarkable results and bringing tangible benefits to people of both countries.",2
It fully proves that good neighborliness and friendly cooperation is the right choice in the fundamental interests of the two countries and two peoples.,2
"The Chinese side will work with the Philippine side to continue to strengthen mutual trust, properly handle the issue of the South China Sea, deepen practical cooperation and push for the sustained, sound and steady growth of the bilateral relationship for the benefit of the two peoples.",2
A: I said last week that we've taken note of the remarks made by the US about the Korean nuclear issue and their message of peacefully resolving the issue through dialogue and consultation.,2
The Chinese side always believes that a peaceful solution based on dialogue and consultation is the only viable way and the only right choice to resolve the Korean nuclear issue.,2
"All parties concerned should shoulder their due responsibilities, move toward the shared goal and work out a way to resume peace talks at an early date.",1
"As parties directly concerned, the US and the DPRK should make political decisions as soon as possible, take actions, demonstrate sincerity and make constructive efforts to ease the tension, restart the process of dialogue and realize denuclearization on the Peninsula.",2
"A: As I just said, we have noted what was mentioned in the chairman's statement about the South China Sea.",1
"The situation in the South China Sea has since last year stabilized, thanks to the joint efforts of China and ASEAN countries including the Philippines.",2
It serves the common interests of all countries in the region.,2
"What we have seen at the ASEAN summit reconfirms the positive changes in the South China Sea and demonstrates regional countries' shared aspiration for stability, cooperation and development, which should be respected and supported by all.",2
"Going forward, the Chinese side will continue to properly address the South China Sea issue with the Philippines through dialogue and consultation and create an enabling atmosphere for the sound and steady growth of China-Philippines relations and all-round progress in bilateral practical cooperation.",2
A: China holds a clear and firm position on the issue of THAAD.,1
"We are against the deployment of THAAD by the US in the ROK, and call on the relevant sides to immediately stop the deployment.",0
We will also firmly take necessary measures to defend our own interests.,0
A: I am not aware of the latest developments.,1
My colleagues and I have said before that peace and stability of a country is a blessing for its people.,2
The key to resolving the current issue in Venezuela is in the hands of the people in Venezuela.,1
We sincerely hope and believe that people there will properly handle their domestic affairs and maintain stability and development of the country.,1
A: I have made myself clear.,1
It is China's longstanding stance that the nuclear issue on the Korean Peninsula should be peacefully resolved through dialogue and consultation.,1
We have been calling on all sides to cool down the situation as it is highly complex and sensitive.,1
And an effective way to achieve that goal is to resume contact and talks at an early date.,1
We have noted the remarks recently made by the US side and the positive message in them.,2
"We believe that the US and the DPRK, as parties directly concerned on the nuclear issue on the Korean Peninsula, should take concrete actions as soon as possible, demonstrate their sincerity, and work hard for an early restart of talks.",0
"China, as an important party to the issue, has and will continue to do what we can to bring various parties back to contact and dialogue.",2
A: China and the DPRK are close neighbors with the tradition of friendly exchanges.,2
"The purpose of the Treaty of Friendship, Cooperation and Mutual Assistance Between China and the DPRK is to promote friendly cooperation between the two countries in various fields and safeguard regional peace and security.",2
"The current situation on the Korean Peninsula is complex, delicate and highly intense.",2
"We urge all relevant parties to keep calm and exercise restraint, instead of taking provocative actions that may escalate the tension.",1
A: China's position on the nuclear issue on the Korean Peninsula is clear.,1
"We are committed to denuclearization on the Peninsula, peace and stability of the Peninsula and settlement of the nuclear issue through dialogue and consultation.",1
"All parties concerned should play a positive and constructive role in resolving the issue, pushing for denuclearization and safeguarding peace and stability on the Peninsula.",0
The UN Security Council has explicit terms on launches by the DPRK using ballistic missile technologies.,1
The Chinese side is opposed to any acts that violate Security Council resolutions.,0
"A: The so-called human rights report, which made unfounded remarks about other countries' internal affairs, was biased against Chinese achievements in human rights.",0
We are dissatisfied with and opposed to it.,0
The Chinese government has attached great importance to protecting and promoting human rights.,2
"Remarkable progress has been made in this regard over the past 30-odd years since reform and opening up, which won't be denied by anyone without prejudice.",2
"We maintain that countries should conduct equal-footed communication on human rights issues based on mutual respect so as to learn from each other and make joint progress, rather than make use of human rights issues as political tools to interfere in others' internal affairs.",0
A: The BRICS Xiamen Summit will open on Sunday.,1
"As you said, many foreign leaders who will soon join us in China have expressed their expectations for the upcoming Summit.",2
"We noticed that today's edition of the People's Daily published an article written by Russian President Putin in which President Putin said that the BRICS cooperation is founded on the basis of equality and mutual respect, and Russia attaches high importance to the constructive cooperation among the five members of BRICS, and he believes that the Xiamen Summit will elevate coordination among the BRICS countries to a whole new level.",1
Brazilian President Temer also said in an interview with the Chinese press that he has full confidence that the Xiamen Summit will be a great success and the BRICS mechanism will bring development opportunities to people in all the BRICS member states.,2
We speak highly of President Putin and President Temer expressing their support and trust for China's hosting of the Summit.,2
"After ten years of development, the BRICS countries have become key forces for driving world economic growth, promoting transformation of the global order, and maintaining international peace and stability.",2
"This year, as the BRICS cooperation marches into the second decade, is an important juncture for us to build on the past and achieve more.",2
"Against the background of profound changes in the international landscape, the BRICS countries, as representatives of emerging markets and developing countries, are responsible for and capable of playing a more positive and constructive role in addressing global challenges.",2
"As the BRICS rotating chair, China stands ready to work with other BRICS members to expand, consolidate, and strengthen the BRICS cooperation so that together we could generate greater synergy, speak in a stronger voice, build a more solid social foundation, forge a wider partnership, and form a more effective institutional structure.",2
All these will lay a more sound foundation for deepening the BRICS partnership and initiating the second golden era of the BRICS cooperation.,2
"We believe that with the concerted efforts of all sides, the BRICS Xiamen Summit will be a great success and elevate the BRICS cooperation to a higher level.",2
"A: Foreign Minister Wang Yi gave a detailed introduction to the relevant arrangements, topics and expected outcomes of the Xiamen Summit at the press briefing on August 30.",1
He elaborated in great length about the BRICS Plus cooperation model when answering a question from the journalists.,2
"As representatives of emerging markets and developing countries, the BRICS members have been conducting dialogues and cooperation with other emerging markets and developing countries.",1
"Since 2013, the chair of the BRICS Summit has been inviting non-BRICS countries to engage in dialogues and communications with the BRICS countries.",1
"This year, China crystallized the successful experience of the past few years and proposed the BRICS Plus cooperation model so as to forge broader partnership.",2
"The concept of the BRICS Plus embodies openness, tolerance, and win-win cooperation, which is in alignment of the BRICS spirit and conducive to releasing the vitality and enhancing the influence of the BRICS cooperation as well as injecting stronger impetus to the world economic growth and promoting common development.",1
"Just like you said, the BRICS Plus model has been gathering more positive response and support from other emerging markets and developing countries since its inception.",2
"While preparing for the Xiamen Summit, China has been in close communication and coordination with other BRICS countries.",2
"We look forward to taking the Xiamen Summit as an opportunity to work with all sides, take stock of the past experience for cooperation, draw a blueprint for future development, and promote the BRICS cooperation to a higher level.",2
"A: After checking with the relevant department, we have learned that a PLA unit is now conducting regular military trainings in waters northwest of the South China Sea in accordance with its annual training plan.",1
The Maritime Safety Administration of the Hainan Province issued a navigation notice in advance as usual and in accordance with law.,1
Relevant waters are under China's jurisdiction.,1
"On the basis of China's domestic law, international law and international common practice, China's military trainings in relevant waters are beyond dispute.",1
We hope relevant parties could view it calmly and rationally.,1
"A: On August 30, the 22nd meeting of the Joint Working Group for the Implementation of the DOC was held in Manila, the Philippines.",1
The meeting was held to implement the second step of the three-step vision on the consultations of the COC raised by Foreign Minister Wang Yi at the recently-concluded Foreign Ministers'Meeting of China and ASEAN.,1
"In a harmonious and cordial atmosphere, all parties had a candid and thorough exchange of views on the implementation of the DOC, consultations on the COC, and maritime practical cooperation, set out principles, pathways, approaches and working mechanisms for the next-stage consultations on the COC, and formed related consensus documents.",2
These marked a good start for consultations on the text of the COC.,2
"Before the meeting, experts and scholars also reached consensus on maritime practical cooperation at back-to-back theme-specific seminars.",1
A: Fighting terrorism is a common responsibility shared by all.,1
China believes that the Philippine government is capable of ending its fight against terrorism in Marawi as soon as possible so that peaceful and tranquil life could be returned to the people in Marawi and Mindanao.,2
We have said many times that we support the counter-terrorism efforts of the Philippine government and have offered a batch of emergency aids to its counter-terrorism fight in Marawi.,1
"China will continue with its support and assistance, including post-war settlement and reconstruction, as needed by the Philippine side.",2
A: China has noted the latest report submitted by the IAEA Director General which once again confirmed Iran's compliance with the JCPOA.,1
China welcomes that and commends the efforts made by Iran and the IAEA.,2
"We hope that all relevant parties could carry on with their implementation of the JCPOA and that the IAEA could continue honoring its obligations with an objective, unbiased and professional attitude.",1
"A: We have noted the positive message about the improvement of inter-Korean relations and the DPRK's participation in the Pyeongchang Winter Olympics sent by the leaders of the DPRK and the ROK, and this is a good thing.",2
"China welcomes and supports the DPRK and the ROK in taking this opportunity to make concrete effort to improve their relations, ease tensions in the Peninsula and realize the denuclearization of the Peninsula.",2
A: The Chinese side has been steadfastly advancing the goal of the denuclearization of the Korean Peninsula and committed to upholding the peace and stability of the Peninsula as well as peacefully resolving the Korean Peninsula nuclear issue through dialogue and consultation.,2
"We stressed time and again that the Korean Peninsula nuclear issue is a security issue in essence, and its crux is the contradiction between the DPRK and the US.",1
"We encourage the two sides, as major parties concerned, to resume dialogue and build mutual trust and make concrete effort to bring the issue back to the right track of settlement through dialogue and consultation at the end.",1
A: China and South Africa are the current co-chairs of the Forum on China-South Africa Cooperation (FOCAC).,1
The FOCAC Johannesburg Summit co-chaired by President Xi Jinping and President Zuma in 2015 was a full success.,2
"In 2018, a new FOCAC meeting will be held in China.",1
South Africa and many other African countries all hope to elevate the 2018 FOCAC meeting into a summit.,2
"In response to the strong aspirations of the African members of the FOCAC and bearing in mind the practical needs of the development of China-Africa relations, China has decided to hold a FOCAC summit in 2018.",2
"After 17 years of development, FOCAC has become an important platform for collective dialogue and effective mechanism for practical cooperation between China and Africa as well as a banner that spearheads international cooperation with Africa.",2
The Johannesburg Summit opened up a new stage of China-Africa win-win cooperation and common development.,2
"At present, the outcomes of the Johannesburg Summit have been effectively implemented in an all round way, which is injecting strong impetus into the development of China-Africa relations.",2
"Against the backdrop of profound and complex changes in the international landscape, the Chinese and African leaders will meet again in Beijing to discuss the policy of China-Africa friendly cooperation, plan for the blueprint of China-Africa cooperation in a new era, roll out major measures to lead China-Africa cooperation and development and advance the China-Africa exchange and cooperation in various areas.",2
"This is conducive to deepening China-Africa comprehensive strategic partnership for our win-win cooperation and common development at a higher level and will also help to promote south-south cooperation and the development of global partnerships, and inject positive energy into world peace, stability and development.",2
"Following the principle of wide consultation, joint contribution and shared benefits, China will work with African members of FOCAC to prepare for this summit.",2
"We believe that with the concerted effort of China and Africa, the FOCAC summit this year will surely be a historic occasion to strengthen China-Africa solidarity and cooperation.",2
"A: According to what I know, the ship is Panama-flagged, which is different from the information you mentioned.",1
"China's attitude is very clear, and we have always stood for the comprehensive and strict implementation of all the DPRK-related resolutions adopted by the Security Council.",2
A: I'm not aware of the information you mentioned and I would like to refer you to the military.,1
"A: As we said multiple times before, Pakistan has made great efforts and sacrifices for combating terrorism and made prominent contributions to the cause of international counterterrorism, and the international community should fully recognize this.",2
We welcome Pakistan and other countries' cooperation on counter-terrorism and in other fields on the basis of mutual respect and their joint commitment to the security and stability of the region and the world.,2
China and Pakistan have maintained the all-weather strategic cooperative partnership.,2
China stands ready to further deepen cooperation with Pakistan in various fields to bring greater benefits to the two peoples.,2
A: China congratulates Mr. George Weah on his election as Liberian president.,2
China stands ready to work with Liberia to advance indepth development of the comprehensive cooperative partnership and bring more benefits to the two peoples.,2
"A: On your first question, we have noted reports on the situation in Iran recently.",1
China hopes that Iran can maintain stability and achieve development.,2
"With regard to your second question, China has released the information on French President Emmanuel Macron's visit to China this morning.",1
"At the invitation of President Xi Jinping, President Emmanuel Macron of the Republic of France will pay a state visit to China from January 8 to 10.",2
This is also President Macron's first state visit to China since he was sworn in.,2
We hope this visit will improve political mutual trust and strategic communication between the two countries and advance the indepth development of our bilateral relations and across-the-board cooperation.,2
"A: Last week, the China-Afghanistan-Pakistan Foreign Ministers' Dialogue was held in Beijing.",1
