Paragraphs,Score
"Zhao Lijian: Thank you for your attention on this. Yesterday the China-ASEAN Young Leaders Scholarship was launched at a virtual ceremony. Senior officials attended and addressed the event include Luo Zhaohui, Vice Foreign Minister and Chinese senior official for East Asian cooperation affairs, Chinese ambassador to ASEAN Deng Xijun, ASEAN’s Secretary General Lim Jock Hoi, and ASEAN Senior Officials’ Meeting (SOM) leader Under-Secretary Elizabeth Buensuceso of the Philippines, the country coordinator for China-ASEAN relations. ",1.0
"I made a thorough statement the other day on this issue. After years of review, the British government, German's Federal Office for Information Security and the European Commission all failed to detect any obvious backdoor in Huawei. However, security loopholes have been spotted in several prominent US companies, including Cisco and Apple, with many backdoor cases revealed. The infamous PRISM program has shown that even leaders and citizens of allies of the US have no privacy in front of its powerful global surveillance and wiretapping system.",0.0
A: The Chinese side has been closely monitoring from start to end the passage by the US warships through the Taiwan Strait. We have expressed our concern to the US side. ,0.0
"All the Confucius Institutes in the US are jointly established in American universities in accordance with their voluntary application and in line the principle of mutual respect, friendly consultation, equality and mutual benefit by the Chinese and American universities.",1.0
A: I have nothing specific to tell you at the moment. The appointment and assumption of office of Chinese ambassadors need to go through due procedures. ,1.0
"At the same time, we will work with the ROK to enhance communication and cooperation in air quality, find solutions to the smog issue, and contribute to better environment in our countries and the sustainable development of the region and beyond.",2.0
"The Iranian minister for cooperation, labor and social welfare expressed appreciation for China's efforts.",2.0
China maintains that relevant parties of the Korean Peninsula issue should seize the positive tendency in the situation on the Peninsula and work for the shared goal. China is willing to continue to play a positive and constructive role in bringing the issue back to the right track of peaceful settlement through dialogue and consultation and achieving the denuclearization and long-term peace and tranquility of the Peninsula. ,2.0
"A: Regarding Foreign Minister Sergei Lavrov's visit to the DPRK, we have not seen relevant press release, so we are not in the position to make comments on it.",1.0
"Wang Wenbin: China is committed to peaceful development and a defense policy that is defensive in nature. We are a builder of world peace, a contributor to global development, and an upholder of international order. China's national defense development is entirely aimed to safeguard national sovereignty, security and development interests, as well as regional and international peace. We don't intend to and will not pose any threat to other countries. China's development means a growing force for world peace. ",2.0
A: This announcement by the DPRK Foreign Ministry has caught the attention of the international community.,1.0
Zhao Lijian: I just briefed you on the relevant situation. The extension of the interim agreement carries on the trend of improving China-Vatican relations. The two sides will continue to maintain close communication and consultation and advance the improvement of bilateral ties. ,2.0
China welcomes the meeting between the leaders of Russia and the US in Helsinki.,2.0
President Xi's remarks were met with enthusiastic response.,2.0
A: Is this information accurate? Is it the idea of President Trump? ,0.0
We hope to continue deepening cooperation for common development with Latin American countries.,2.0
"First, they equated those who undertake research and normal exchanges between China and other countries with the two Canadians who were taken compulsory measures by the Chinese national security agencies for activities endangering China's national security. This is disrespect for people who are committed to promoting normal and friendly exchanges between China and the rest of the world.",0.0
"So, there is nothing unusual that some diplomatic events coincide with each other.",1.0
China always implements the DPRK-related resolutions of the UN Security Council in their entirety and fulfills its due international obligations.,1.0
"Hua Chunying: This is not a diplomatic matter, but it attracts a lot of attention from the international community.",1.0
"Despite the serious impact of COVID-19 this year, the Chinese economy has stayed strong and demonstrated great resilience and enormous potential.",1.0
"China's GDP expanded by 3.2 percent in the second quarter, making China the first economy to register positive growth.",1.0
"As you mentioned, the month of August saw growing demand in China's manufacturing sector and a recovering cycle of supply and demand.",1.0
This indicates a brighter economic prospect as well as prominent outcomes in China's efforts to coordinate epidemic containment and socio-economic development.,1.0
IMF forecasts put China as one of the few countries that will maintain positive growth in 2020.,1.0
"According to a latest survey, 99.1 percent of foreign companies in China will continue to invest and operate in China, and 89 percent of the surveyed EU businesses said they are not considering moving their industrial chains out of China.",1.0
China remains one of the top three investment destinations for most European companies.,1.0
"All of these are, in a sense, a vote of confidence in China's development.",2.0
"Given the changes in China's development stage, environment and conditions, we have set out the goal of fostering a new, dual-cycle development architecture with the domestic cycle as the mainstay and with domestic and international development reinforcing each other.",1.0
"This is not a closed domestic loop, but an open dual-cycle of both domestic and international growth.",1.0
"China will further tap into its domestic demand, expand opening-up and share more of its development dividends with the rest of the world.",1.0
"With lower level of tariffs, shorter negative lists, more convenient market access and a more attractive business environment, China will foster an open economy of a higher level, delivering more opportunities to the world.",2.0
"Hua Chunying: Secretary of State Pompeo has indeed been practicing his own words ""we lie, we cheat, we steal"", which he blatantly said at a university in Texas.",0.0
And he's a perfect example.,0.0
He lies every day on issues of national security.,0.0
"How could TikTok, a social media app for young people to share light-hearted videos like singing and dancing, pose national security threats to the US?",0.0
"Pompeo has been playing up his ""China threat"" theory around the world, urging others to guard against China ""stealing user data"".",0.0
But what about the track record of the US in this regard?,0.0
"When it comes to telecom theft, the US always ranks the first in the world.",0.0
"In addition to pressuring the AT&T, Verizon and other carriers for data supplies, the National Security Agency (NSA) has been using fake base stations named Dirtbox in its wiretapping programs including the Boundless Informant since more than a decade ago.",0.0
"Through Dirtbox, they simulate signals of base stations to tap into and steal data from cell-phones.",0.0
"As Le Monde reported, thanks to Dirtbox, 62.5 million phone data were collected by the US in France.",1.0
"Pompeo has been accusing TikTok, WeChat and other apps of being tools for the Chinese government's ""infiltration"".",0.0
"But in reality, the US is the one that is adept at turning apps into surveillance units.",0.0
Leaked documents of PRISM have laid this bare.,0.0
"The NSA sees apps as ""data mines"" with huge reserves of data to be harvested and thus invests heavily to this end.",0.0
"Under the agency's pressure, Twitter, Facebook, YouTube, Skype, Google Map and even Angry Birds were forced to cooperate with it.",0.0
"An ""innovative move"" by the US intelligence is to steal secrets through the app store.",0.0
"As revealed by the Canadian Broadcasting Corporation (CBC), the NSA and intelligence authorities of other Five Eyes countries initiated Project Irritant Horn, which hijacks Play Store to implant spyware on target smartphones or crack down on loopholes.",0.0
With this program the Five Eyes managed to acquire massive amounts of data by stealing.,0.0
"As for Clean Cloud, the US is the real gangster of ""cloud theft"".",0.0
"The Washington Post exposed that the NSA, along with the Government Communications Headquarters (GCHQ) of the UK, launched a surveillance program called Muscular to frequently break into the cloud servers of Google and Yahoo.",1.0
They even went so far as to intercept data and direct it to the agencies' own database.,0.0
This was how hundreds of millions of personal information records were collected.,0.0
"According to New Zealand Herald, the US had conspired with the New Zealand intelligence to tap the data flowing in the Chinese consulate general in Auckland.",0.0
"To crack into other countries' data, the US has just spared no wire in a Chinese consulate, not to mention the undersea cables, ""the intelligence gold mine"".",0.0
It is only natural that the US will take full advantage of them.,0.0
"Der Spiegel, a German magazine, reported over the years that the NSA has tapped into the ""SEA-ME-WE-4"", the longest submarine fiber-optic cable system connecting Europe and Asia.",1.0
"The Washington Post exposed some of the US' own fiber-optic cable-tapping programs, known by the names Oakstar, Stormbrew, Blarney and Fairview.",1.0
The Associated Press wrote that the US Navy went out of its way to repurpose a submarine called the USS Jimmy Carter so they could tap fiber-optic cables.,1.0
"In the 2009 Quadrennial Intelligence Community Review disclosed by the media, the US blithely acknowledges that its intelligence agencies should ""conduct cyber operations"" and other means against ""research facilities"" in other countries to help American corporations secure competitive advantages.",1.0
"Documents leaked by Snowden show that the US surveillance program, codenamed Stateroom, ordered the installment of secret signals intelligence equipment in around 100 foreign diplomatic embassies and consulates in other countries for spying purpose.",0.0
"""The Filthy Hypocrisy of America's Clean China-Free Internet"" on The Intercept points out that the US vision for a clean network means a China-free network.",0.0
"The policy statement on a clean network is nothing but a piece of xenophobic and nonsensical hypocrisy, and its message is clear: If there's going to be a world-spanning surveillance state, it is the US.",0.0
Another case in point is the Crypto AG scandal.,1.0
"As you all know, the half-a-century-old Swiss company was proved to be working for the CIA, and the Crypto devices it sold to over 120 countries were ironically tapping equipment.",0.0
A basic sense of integrity and honor is necessary for anyone.,0.0
"Faced with the iron-clad facts, we hope these senior US officials will immediately stop slinging mud at China.",0.0
"Hua Chunying: I read reports on that, but I need to verify if it's true.",1.0
China is committed to developing relations with other countries on the basis of mutual respect and non-interference.,2.0
"Interfering in other countries' domestic affairs is not in the ""genes"" of China's diplomacy.",1.0
"As Australia is a close ally of the US, certain Australian people and forces seem to be ""infected"" with paranoia, dominated by China-phobia and conjectures, to the extent of losing all sense of rationality and justice that they make various accusations against normal educational and people-to-people exchange between China and Australia.",0.0
"If Australia really wants to conduct serious research on foreign interference, I believe there are many clues.",1.0
"For example, as disclosed by media multiple times, those Australian institutions and individuals taking the lead in fueling hostility towards China have received funding from the US government, and one of them is the Australian Strategic Policy Institute (ASPI).",0.0
Some in Australia revealed that it has long been receiving funds from the US government and arms dealers.,1.0
"Besides, according to ABC News, among the members of the National Foundation for Australia-China Relations, a body meant to strengthen engagement between the two countries, two have been funded by the US Department of State.",1.0
This is a fact that is both enlightening and thought-provoking.,1.0
"During the past 20 years, trade volume between China and Australia has grown from less than 10 billion to 235 billion Australian dollars last year.",1.0
"Over 12,000 Australian companies have set up branches in China.",1.0
"Last year, the number of Chinese students in Australia nearly hit 230,000.",1.0
Every year over 1.4 million Chinese tourists travel to Australia.,1.0
China has been Australia's biggest trade partner for 11 years in a row and is now Australia's largest source of international students and tourists.,1.0
"And more promisingly, China has been Australia's most important collaborator on scientific research on account of the number of university research papers and mentions in the top 1 percent of most-cited articles.",1.0
These are eloquent facts.,1.0
"As an Australian proverb goes, ""Keep your eyes on the sun and you will not see the shadows.""",
This fits so well with where we now stand.,1.0
"We hope the Australian government, politicians and all those with a rational mind in the country will keep their eyes on the bright future of China-Australia relations and on the sun, rather than on the dark clouds and disturbed by the shadows.",0.0
We hope Australia will adopt a constructive China policy instead of a destructive one.,1.0
Hua Chunying: I noticed reports on that.,1.0
"If it's true, it will be another example of the US undermining its people-to-people exchange with China.",0.0
I also noticed some in the US have expressed concerns and criticism over this.,0.0
"Since China and the US established diplomatic ties 41 years ago, exchange of students and other forms of people-to-people exchange has played an important role in enhancing mutual understanding and advancing stable development of relations between the two sides.",2.0
Chinese students and scholars have contributed greatly to scientific and technological innovation and economic growth in the United States.,2.0
"Statistics from the US show that Chinese students, accounting for one third of all foreign students in the US, contribute over $15 billion to the country every year.",1.0
"Regrettably, however, out of selfish gains and political motives, some extremist, anti-China forces have been suppressing China's strategic need of development, making numerous lies to stigmatize and demonize Chinese students, and even oppressing Chinese students in the US by abusing judicial power under baseless pretexts.",0.0
"Under such circumstances, I wonder how many Chinese parents can still see their children studying in the US without worrying.",0.0
"Openness, inclusiveness and diversity were the basis of the US when it was founded.",1.0
"However, the US today is entirely different.",0.0
"It is filled with isolation, hatred and exclusion.",0.0
"Openness brings progress, while self-seclusion leaves one behind.",1.0
This is a harsh lesson learned from history.,0.0
We hope the US can view China-US relations more rationally and do more things conducive to bilateral people-to-people exchange.,1.0
"If the US insists on going down the wrong path, its own interests will be hurt in the end.",0.0
"Hua Chunying: The US diplomacy today has stooped to intimidation, lies and sanctions.",0.0
The top US diplomat is making a living on attacking and smearing China and spreading rumors day after day.,0.0
"With their focus placed on the wrong thing, I believe they are now walking on an erroneous and dangerous path.",0.0
"Pompeo is ambitious but as a Chinese saying goes, ""it is important to know one's own limitations"".",1.0
"China has a splendid civilization that has run uninterrupted for 5,000 years, and the CPC will be celebrating its 100th anniversary next year.",2.0
"As a century-old party, it has 92 million members and nearly 20 million applicants for Party membership.",1.0
"According to independent polls conducted by Pew Research Center, Harvard University and other institutions worldwide, the Chinese people's overall support for the CPC and the Chinese government has been over 90% on average, ranking top in the world.",1.0
"Under the strong leadership of the CPC, the Chinese people have united as one and achieved strategic success in the fight against COVID-19.",1.0
"As a survey by a Singapore-based research agency suggests, the Chinese people's support and satisfaction towards their government has hit a historical high amid the fight against COVID-19.",1.0
"With regard to the US, I don't want to spend time talking about its epidemic response since there have been abundant American media reports on that.",1.0
"Eighty percent of Americans surveyed, which is an all-time high, say the country is heading in the wrong direction in surveys conducted by the Associated Press-NORC Center for Public Affairs Research at the University of Chicago.",0.0
"People in many countries, including US allies, believe that the current US foreign policy is essentially posing the biggest threat to the world.",0.0
"Renowned scholars worldwide note that it's arrogant and preposterous for a country with a history of less than 250 years to believe that it can change a major country with a political civilization of more than 4,000 years.",0.0
"Now the world is watching the US with great concerns over its severe racial discrimination, social division, and epidemic response.",1.0
"If those US politicians spreading hatred and division still have the slightest sense of conscience and responsibility for the nation and the people, they should rush to refocus on saving more American lives, and listen to the desperate cries from Floyd, Blake and other ethnic minorities.",0.0
"Instead of talking about the trustworthiness of other countries, Pompeo should first make concrete efforts to earn the trust of the American people.",0.0
"Hua Chunying: I have no specifics for you, but as you know, China is a country upholding the rule of law, and the relevant authorities deal with matters according to law.",1.0
"Regarding your second question, I'd like to first thank you for your interest in Assistant Foreign Minister Chen Xiaodong.",1.0
"As diplomats, our posts often change.",1.0
I think you'll soon know what his new duty is.,1.0
Hua Chunying: China's position on the visit by the President of the Czech Senate is very clear.,1.0
Vice Foreign Minister Qin Gang summoned the Czech Republic Ambassador to China and lodged stern representations over Czech Senate President Milos Vystrcil's visit to Taiwan.,0.0
"Tempted by the Taiwan authority, instigated by anti-China forces and driven by selfish gains, Vystrcil insists on visiting the Taiwan region regardless of China's firm opposition and solemn representations.",0.0
"This is open support for ""Taiwan independence"" separatist forces and their activities and has severely infringed upon China's sovereignty and flagrantly interfered in China's domestic affairs.",0.0
China strongly condemns the move.,0.0
"There is only one China in the world, and the government of the People's Republic of China is the sole legitimate government representing the whole of China, which is recognized by the international community.",1.0
The one-China principle is the Czech Republic's foreign policy and the political basis for China-Czech ties.,1.0
"Vystrcil, as one of the country's leaders, has openly broken international consensus and breached the one-China principle which the Czech government has promised to uphold, severely violating international law and basic norms of international relations.",0.0
China shall take necessary actions to safeguard its legitimate interests.,1.0
"We urge those who openly challenge China's sovereignty out of selfish interest to heed China's solemn position and grave concerns, and not to underestimate the firm resolve of the 1.4 billion Chinese people to safeguard national sovereignty and security.",0.0
We also call on the Czech people to jointly prevent further harm to China-Czech relations caused by Vystrcil's malicious and shortsighted behavior.,0.0
Hua Chunying: There is only one China in the world and Taiwan is an inalienable part of China's territory.,1.0
The one-China principle is the political foundation and fundamental premise for the establishment and development of diplomatic relations between China and the US.,1.0
"The so-called Taiwan Relations Act unilaterally promulgated by the US and its so-called Six Assurances to Taiwan severely violate the one-China principle and the three China-US joint communiqu�s, seriously breach the basic norms governing international relations and grossly interfere in China's internal affairs.",0.0
"They are completely wrong, illegal, null and void, and the Chinese government is firmly opposed to them right from the start.",0.0
"The US should abide by the one-China principle and the three China-US joint communiqu�s, rather than the Taiwan Relations Act or the Six Assurances.",1.0
"I want to stress that the Taiwan question bears on China's sovereignty, territorial integrity and China's core interests.",1.0
No one should underestimate China's firm determination to safeguard national sovereignty and territorial integrity.,0.0
"We urge the US side to abide by the one-China principle and the three joint communiqu�s between China and the US, make no attempts to change the nature of its relationship with Taiwan, stop conducting any official exchange with Taiwan, and refrain from moving further down the wrong and dangerous path.",0.0
"Hua Chunying: Like I said, I'm not aware of the specifics related to Cheng Lei and I refer you to the competent authorities.",1.0
China values our relations with Australia.,2.0
"That said, the development of bilateral relations requires efforts made by both sides.",1.0
I'd like to stress one more thing.,1.0
China always upholds the rule of law.,1.0
"Unlike some other countries, we don't practice unlawful deeds in the name of the law.",0.0
Hua Chunying: China has noted the relevant statement issued by the World Bank.,1.0
"We urge the World Bank to conduct internal investigations in accordance with the principles of fairness, objectivity and transparency and the rules and procedures of multilateral institutions, so as to earnestly safeguard the reputation of the World Bank and its member states, as well as the professionalism and credibility of the Doing Business report.",1.0
"The Chinese government attaches great importance to improving its business environment, adheres to world-class standards, and continuously deepens reforms to delegate power, streamline administration and optimize government services so as to stimulate the vitality of market players and the creativity of social sectors.",2.0
"Last year, China has seen on average a net increase of 10,000 Chinese companies per day, and annual foreign direct investment registered a 2.4 percent year-on-year increase to US $138.1 billion.",1.0
These real achievements are recognized and applauded by the international community.,2.0
China will remain committed to deepening reform and creating a market-oriented and law-based business environment that meets international standards so as to create a favorable environment for high-quality economic development.,2.0
"Hua Chunying: On the boundary issue that is left over from history, China always believes that a fair and reasonable agreement can be reached by the two sides through peaceful and friendly consultations.",2.0
"For some time, the two sides have been in touch and in talks at various levels and making efforts to seek peaceful settlement to the boundary issue and jointly safeguard peace and stability of the border areas.",1.0
"But on August 31, in violation of the consensus reached by China and India through talks and meetings at various levels, the Indian troops again illegally crossed the LAC at the southern bank of the Pangong Tso Lake and near the Reqin Mountain, which are in the western sector of the China-India boundary.",0.0
Their flagrant provocations again led to tensions.,0.0
"The Indian side has severely undermined China's territorial sovereignty, breached bilateral agreements and important consensus, and damaged peace and tranquility in the border areas, which runs counter to the recent efforts made by both sides for de-escalation of tensions on the ground.",0.0
China firmly opposes such a move and has lodged stern representations with the Indian side.,0.0
"We urge India to immediately stop all provocations, withdraw its troops who illegally crossed the LAC, and refrain from any moves that may escalate tensions or complicate matters.",1.0
"Hua Chunying: What India said may differ from what China said, but there's only one simple truth.",1.0
"Since the founding of the People's Republic of China more than 70 years ago, we have never initiated a war or conflict, and never taken an inch of land that is not ours.",1.0
"In fact, China's border troops have been strictly abiding by the LAC and they've never trespassed.",1.0
"The Indian side should respect facts and take concrete actions with the good will of preserving China-India relations, so as to jointly preserve peace and tranquility of the border areas.",1.0
We've noted that some Indian media have reported extensively on India deploying more troops in the border areas.,1.0
"If proven true, such a move runs counter to the shared wish of the two peoples, which is to live in peace and ensure a sound and steady development of China-India relations.",1.0
We hope that India will take China's concerns seriously and take concrete actions to ensure the peace and tranquility of the border areas and the sound development of China-India relations.,1.0
Hua Chunying: The remarks by David Stilwell are meant to confuse right and wrong.,0.0
The first duty of a diplomat should be to promote mutual understanding and friendly cooperation.,1.0
"Yet regrettably, the US foreign policy today has turned into diplomacy of coercion, sanctions, lying and scapegoating.",0.0
Some senior US diplomats are making their living by attacking and smearing China.,0.0
"They are busy fabricating lies, spreading hatred, interfering in the internal affairs of other countries, and even blatantly associating with separatists and terrorists for the purpose of suppressing other countries.",0.0
"They disregard international rules, trample on fairness and justice, and too often withdraw from international agreements and organizations.",0.0
The US now becomes the biggest perpetrator undermining the existing international order.,0.0
This is both a misfortune for the US and a threat to the world.,0.0
I also read the report you mentioned.,1.0
Even the American press has felt distressed about and been fed up with the administration's diplomatic performance.,0.0
"A person should at least have some integrity and honor, and a country should at least have some sense of responsibility.",0.0
We hope the US can behave like a major country and shoulder its due responsibilities.,0.0
"If it cannot step up to play a more positive role for world peace and stability, then the least it can do is to restrain itself from making trouble.",0.0
Hua Chunying: This again proves that the US foreign policy becomes nothing but diplomacy of sanctions.,0.0
"It is pathetic that they are busy all day lying, cheating, shifting the blame, smearing China, threatening to impose sanctions, and announcing sanctions against other countries.",0.0
China has made clear our position on multiple occasions on the US unwarranted oppression against Chinese companies.,0.0
The US identifying 11 Chinese companies as owned or controlled by the Chinese military lacks both legal basis and evidence.,0.0
We firmly oppose that.,0.0
"The US has time and again stretched the concept of national security and abused national power to suppress certain Chinese companies, which is in serious violation of market principles and international trade rules, of which the US is a self-claimed champion.",0.0
"I'd like to stress that Chinese companies that do business overseas have been strictly observing laws and regulations of their host countries, including the US.",0.0
They are committed to market principles and the rule of law.,1.0
"With the respect for market rules and norms, Chinese companies are ready to continue conducting win-win cooperation with other countries.",1.0
We hope the US will stop suppressing certain foreign businesses under the pretext of national security.,0.0
I don't think such moves will do any good to the United States itself.,0.0
Hua Chunying: Mr. Pranab Mukherjee was a veteran statesman and leader of India.,1.0
He visited China multiple times and contributed to the development of China-India relations.,2.0
"As we recall, in 2014, he and Chinese leader announced the decision to build a closer developmental partnership.",2.0
His death is a loss to the Indian people and to the friendly cause between China and India.,2.0
We express our deep condolences over the passing of former President Pranab Mukherjee and our sincere sympathies to his loved ones.,2.0
"China has been comprehensively, accurately, faithfully, and strictly implementing all DPRK-related resolutions adopted by the Security Council, and fulfilling our due international obligations.",2
